epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
55,2339.01,1.00558,0.41725,0.76819,0.91717,0.70337,0.77262,0.5321,0.95044,0.38308,0.76349,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2380.79,1.00045,0.41661,0.76768,0.91153,0.70271,0.77443,0.53209,0.95206,0.38548,0.76302,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2422.64,0.99827,0.41559,0.76664,0.9118,0.70787,0.77452,0.53259,0.9491,0.38384,0.76265,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2464.17,0.99656,0.41459,0.7671,0.91008,0.70664,0.77425,0.53263,0.94854,0.38196,0.76242,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2505.85,0.98994,0.41006,0.76597,0.90829,0.70717,0.77436,0.53404,0.94654,0.38173,0.76204,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2547.71,0.98896,0.40943,0.76574,0.91903,0.70363,0.77538,0.53516,0.94405,0.37996,0.76176,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2589.3,0.99228,0.41083,0.76606,0.90939,0.71125,0.7764,0.53445,0.94525,0.37976,0.76165,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,2630.72,0.98156,0.40664,0.7658,0.91244,0.70885,0.77604,0.53526,0.94402,0.37814,0.7617,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,2672.41,0.98483,0.40812,0.76522,0.91239,0.70751,0.77646,0.5341,0.94437,0.37934,0.76155,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2714.16,0.9853,0.40725,0.76573,0.90684,0.71182,0.77695,0.53574,0.94285,0.3778,0.76144,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2755.91,0.98434,0.40695,0.76547,0.90273,0.71602,0.77755,0.5362,0.94139,0.37826,0.7611,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,2798.98,0.97878,0.40494,0.76641,0.8996,0.71702,0.77761,0.53648,0.9418,0.37815,0.76122,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,2840.91,0.9809,0.40508,0.76503,0.91365,0.70944,0.77639,0.53638,0.94193,0.37773,0.76125,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,2882.37,0.97454,0.40313,0.76461,0.91489,0.71055,0.77792,0.53642,0.94135,0.37688,0.76121,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,2923.96,0.97993,0.40322,0.76436,0.91079,0.71302,0.77741,0.53659,0.94067,0.37681,0.76108,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,2965.64,0.96989,0.40033,0.76486,0.90998,0.71216,0.77701,0.53711,0.94001,0.37636,0.76093,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3007.05,0.9695,0.39979,0.76424,0.92029,0.70544,0.7771,0.53839,0.93993,0.37623,0.76105,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3048.44,0.96733,0.39903,0.7651,0.91602,0.71189,0.7783,0.53834,0.93956,0.37589,0.76091,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3090.24,0.9713,0.39899,0.76338,0.91794,0.71054,0.77816,0.53781,0.94013,0.37593,0.76078,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,3131.88,0.96582,0.39606,0.76332,0.9186,0.71086,0.77849,0.53856,0.93886,0.37439,0.76077,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,3173.71,0.96532,0.39514,0.7629,0.9155,0.7112,0.77898,0.53916,0.93801,0.37437,0.7605,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,3215.62,0.95622,0.3928,0.7623,0.9149,0.71266,0.77967,0.54,0.93764,0.37316,0.76041,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
